timestamp,Level,soc,RawLevel,Voltage_mV,InstantAmperage_mA,P_mW,P_load_mW,Temperature_C,IsCharging,AppleRawMaxCapacity,DesignCapacity,CycleCount,screen_on,state,brightness_pct,cell_linkquality,gps_on,gps_avgPower_mW,activeInterval,measuredInterval,cell_down_Bps,cell_up_Bps,wifi_down_Bps,wifi_up_Bps,t_seconds
1769456574.217305,78.0,0.78,74.31542461005199,4117,-6,24.702,24.702,16.89,0,2885,3254,599,0.0,0.0,,100,0,0.0,0.0,454.0,0.8691011541979355,1.650192064932789,324.58986240330023,128.9677258260991,13143.389465094
1769456605.36309,78.0,0.78,74.31542461005199,4116,-9,37.044,37.044,16.89,0,2885,3254,599,0.0,0.0,,100,0,0.0,0.0,454.0,0.8691011541979355,1.650192064932789,324.58986240330023,128.9677258260991,13174.535250187
1769456636.9997048,78.0,0.78,74.30651872399446,4116,-8,32.928,32.928,16.79,0,2884,3254,599,0.0,0.0,,100,0,0.0,0.0,454.0,0.8691011541979355,1.650192064932789,324.58986240330023,128.9677258260991,13206.171864987
1769457048.120728,78.0,0.78,74.28868841082581,4110,-74,304.14,304.14,16.29,0,2882,3254,599,0.0,0.0,,100,0,0.0,0.0,454.0,0.8691011541979355,1.650192064932789,324.58986240330023,128.9677258260991,13617.292888165
1769457122.456901,78.0,0.78,74.25399028452463,4112,-22,90.464,90.464,16.19,0,2882,3254,599,0.0,0.0,,100,0,0.0,0.0,541.0,0.8691011541979355,1.650192064932789,324.58986240330023,128.9677258260991,13691.629061222
1769457395.9947228,78.0,0.78,74.2103436306838,4114,-9,37.026,37.026,16.0,0,2881,3254,599,0.0,0.0,,100,0,0.0,0.0,541.0,0.8691011541979355,1.650192064932789,324.58986240330023,128.9677258260991,13965.166882992
1769458037.4449668,78.0,0.78,74.19242792636332,4114,-10,41.14,41.14,15.39,0,2879,3254,599,0.0,0.0,,100,0,0.0,0.0,347.0,0.8691011541979355,1.650192064932789,324.58986240330023,128.9677258260991,14606.617126942
1769458149.127809,78.0,0.78,74.15769364362626,4113,-9,37.017,37.017,15.39,0,2879,3254,599,0.0,0.0,,100,0,0.0,0.0,0.0,1.6466129644680767,1.6904219332475026,106.13272808076538,70.8744939679631,14718.299969197
1769458438.444731,78.0,0.78,74.1139680333565,4113,-8,32.904,32.904,15.19,0,2878,3254,599,0.0,0.0,,50,0,0.0,0.0,0.0,1.6466129644680767,1.6904219332475026,106.13272808076538,70.8744939679631,15007.616891146
1769458952.361372,78.0,0.78,74.0702120264164,4112,-17,69.904,69.904,14.89,0,2877,3254,599,0.0,0.0,,100,0,0.0,0.0,0.0,1.6466129644680767,1.6904219332475026,106.13272808076538,70.8744939679631,15521.533532143
1769459426.37228,78.0,0.78,74.02642559109874,4112,-7,28.784,28.784,14.79,0,2876,3254,599,0.0,0.0,,100,0,0.0,0.0,514.0,1.6466129644680767,1.6904219332475026,106.13272808076538,70.8744939679631,15995.54444027
1769459815.410584,78.0,0.78,73.95688456189151,4111,-6,24.666,24.666,14.69,0,2876,3254,599,0.0,0.0,,100,0,0.0,0.0,473.0,1.6466129644680767,1.6904219332475026,106.13272808076538,70.8744939679631,16384.582744122
1769460583.7149038,78.0,0.78,73.87826086956522,4110,-5,20.55,20.55,14.39,0,2875,3254,599,0.0,0.0,,100,0,0.0,0.0,388.0,1.6466129644680767,1.6904219332475026,106.13272808076538,70.8744939679631,17152.88706398
1769460730.357294,78.0,0.78,73.84347826086956,4110,-8,32.88,32.88,14.39,0,2875,3254,599,0.0,0.0,,100,0,0.0,0.0,0.0,1.08159131135224,0.2356408085734727,130.613736726782,50.2979234047529,17299.529454232
1769461039.399447,78.0,0.78,73.77391304347826,4108,-8,32.864,32.864,14.39,0,2875,3254,599,0.0,0.0,,100,0,0.0,0.0,0.0,1.08159131135224,0.2356408085734727,130.613736726782,50.2979234047529,17608.571607113
1769461203.22132,78.0,0.78,73.73913043478261,4101,-81,332.181,332.181,14.39,0,2875,3254,599,0.0,0.0,,100,0,0.0,0.0,455.0,1.08159131135224,0.2356408085734727,130.613736726782,50.2979234047529,17772.393480063
1769461225.370474,78.0,0.78,73.73913043478261,4102,-63,258.426,258.426,14.39,0,2875,3254,599,0.0,0.0,,100,0,0.0,0.0,455.0,1.08159131135224,0.2356408085734727,130.613736726782,50.2979234047529,17794.542634011
1769461645.369457,77.0,0.77,73.66956521739131,4108,-7,28.756,28.756,14.39,0,2875,3254,599,0.0,0.0,,100,0,0.0,0.0,455.0,1.08159131135224,0.2356408085734727,130.613736726782,50.2979234047529,18214.541617155
1769462459.395221,77.0,0.77,73.59081419624218,4107,-9,36.963,36.963,14.19,0,2874,3254,599,0.0,0.0,,100,0,0.0,0.0,0.0,0.716818825711237,0.4370616755979158,184.80361790868537,42.30738197074632,19028.567381144
1769462463.713445,77.0,0.77,73.59081419624218,4091,-138,564.558,564.558,14.19,0,2874,3254,599,0.0,0.0,,100,0,0.0,0.0,813.0,0.716818825711237,0.4370616755979158,184.80361790868537,42.30738197074632,19032.885605097
1769462560.3584409,77.0,0.77,73.55601948503828,4106,-6,24.636,24.636,14.19,0,2874,3254,599,0.0,0.0,,100,0,0.0,0.0,813.0,0.716818825711237,0.4370616755979158,184.80361790868537,42.30738197074632,19129.530601025
1769462937.38947,77.0,0.77,73.52122477383438,4106,-5,20.53,20.53,14.19,0,2874,3254,599,0.0,0.0,,100,0,0.0,0.0,813.0,0.716818825711237,0.4370616755979158,184.80361790868537,42.30738197074632,19506.561630249
1769463430.424714,77.0,0.77,73.45163535142659,4097,-75,307.275,307.275,14.09,0,2874,3254,599,0.0,0.0,,100,0,0.0,0.0,493.0,0.716818825711237,0.4370616755979158,184.80361790868537,42.30738197074632,19999.596874237
1769464037.395443,77.0,0.77,73.34725121781489,4104,-5,20.52,20.52,14.0,0,2874,3254,599,0.0,0.0,,100,0,0.0,0.0,493.0,0.716818825711237,0.4370616755979158,184.80361790868537,42.30738197074632,20606.567603112
1769464345.3472428,77.0,0.77,73.312456506611,4104,-7,28.728,28.728,14.0,0,2874,3254,599,0.0,0.0,,100,0,0.0,0.0,307.0,0.4678003744482399,0.2650450736373406,30.46471553812921,32.539090388899695,20914.519402981
1769465060.7988448,77.0,0.77,73.2335537765402,4100,-23,94.3,94.3,14.0,0,2873,3254,599,0.0,0.0,,100,0,0.0,0.0,307.0,0.4678003744482399,0.2650450736373406,30.46471553812921,32.539090388899695,21629.971004963
1769465260.356081,77.0,0.77,73.19874695440306,4100,-30,123.0,123.0,14.0,0,2873,3254,599,0.0,0.0,,100,0,0.0,0.0,715.0,0.4678003744482399,0.2650450736373406,30.46471553812921,32.539090388899695,21829.528241158
1769465430.9211888,77.0,0.77,73.16394013226592,4102,-5,20.51,20.51,14.0,0,2873,3254,599,0.0,0.0,,100,0,0.0,0.0,715.0,0.4678003744482399,0.2650450736373406,30.46471553812921,32.539090388899695,22000.09334898
1769465759.3514938,77.0,0.77,73.09432648799165,4101,-8,32.808,32.808,13.89,0,2873,3254,599,0.0,0.0,,100,0,0.0,0.0,328.0,0.4678003744482399,0.2650450736373406,30.46471553812921,32.539090388899695,22328.523653984
1769466145.393609,77.0,0.77,73.02471284371737,4099,-29,118.871,118.871,13.89,0,2873,3254,599,0.0,0.0,,100,0,0.0,0.0,328.0,0.4678003744482399,0.2650450736373406,30.46471553812921,32.539090388899695,22714.565769196
1769467030.443379,77.0,0.77,72.88548555516881,4099,-5,20.495,20.495,13.79,0,2873,3254,599,0.0,0.0,,100,0,0.0,0.0,0.0,0.863381214247149,0.2941188751830947,82.6535704583592,45.32229524843847,23599.615539074
1769467915.40629,76.0,0.76,72.7715877437326,4097,-7,28.679,28.679,13.69,0,2872,3254,599,0.0,0.0,,100,0,0.0,0.0,884.0,0.863381214247149,0.2941188751830947,82.6535704583592,45.32229524843847,24484.578450203
1769468278.2525811,76.0,0.76,72.70194986072423,4097,-5,20.485,20.485,13.79,0,2872,3254,599,0.0,0.0,,100,0,0.0,0.0,0.0,0.0,0.0,21.167188334762425,24.127555240950677,24847.424741269
1769468830.354612,76.0,0.76,72.63231197771587,4094,-33,135.102,135.102,13.69,0,2872,3254,599,0.0,0.0,,100,0,0.0,0.0,552.0,0.0,0.0,21.167188334762425,24.127555240950677,25399.526772023
1769469155.41064,76.0,0.76,72.56267409470752,4094,-10,40.94,40.94,13.69,0,2872,3254,599,0.0,0.0,,100,0,0.0,0.0,552.0,0.0,0.0,21.167188334762425,24.127555240950677,25724.58280015
1769469698.368936,76.0,0.76,72.458217270195,4095,-5,20.475,20.475,13.69,0,2872,3254,599,0.0,0.0,,100,0,0.0,0.0,543.0,0.0,0.0,21.167188334762425,24.127555240950677,26267.541096211
1769470028.385968,76.0,0.76,72.38857938718662,4094,-7,28.658,28.658,13.69,0,2872,3254,599,0.0,0.0,,100,0,0.0,0.0,543.0,0.0,0.0,21.167188334762425,24.127555240950677,26597.558128119
1769470613.3545115,76.0,0.76,72.2841225626741,4092,-10,40.92,40.92,13.59,0,2872,3254,599,0.0,0.0,,100,0,0.0,0.0,0.0,0.0918158519180067,0.1230521726736172,138.58136216606135,92.46897852548756,27182.526671887
1769471439.2407851,76.0,0.76,72.17966573816156,4092,-7,28.644,28.644,13.5,0,2872,3254,599,0.0,0.0,,100,0,0.0,0.0,584.0,0.0918158519180067,0.1230521726736172,138.58136216606135,92.46897852548756,28008.412945271
1769471458.661807,76.0,0.76,72.20480668756531,4087,-27,110.349,110.349,13.5,0,2871,3254,599,0.0,0.0,,100,0,0.0,0.0,825.0,0.0918158519180067,0.1230521726736172,138.58136216606135,92.46897852548756,28027.833967209
1769471947.33528,76.0,0.76,72.13514454893765,4091,-7,28.637,28.637,13.5,0,2871,3254,599,0.0,0.0,,100,0,0.0,0.0,825.0,0.0918158519180067,0.1230521726736172,138.58136216606135,92.46897852548756,28516.507440091
1769472221.384103,76.0,0.76,72.06548241031,4090,-7,28.63,28.63,13.5,0,2871,3254,599,0.0,0.0,,100,0,0.0,0.0,0.0,0.494541787645473,0.2866153669178189,328.34708562308344,37.03226878073324,28790.556263209
1769472365.3542829,76.0,0.76,72.03065134099617,4089,-7,28.623,28.623,13.5,0,2871,3254,599,0.0,0.0,,100,0,0.0,0.0,0.0,0.494541787645473,0.2866153669178189,328.34708562308344,37.03226878073324,28934.526443005
1769472587.379917,76.0,0.76,71.99582027168233,4089,-6,24.534,24.534,13.5,0,2871,3254,599,0.0,0.0,,100,0,0.0,0.0,417.0,0.494541787645473,0.2866153669178189,328.34708562308344,37.03226878073324,29156.552077055
